"sample","locus","tip","copy","exact_tip_marginal_pp"
"C_ten_16972_MN","APP","C_ten_16972_MN_B1","16972_c2",0.505741738926646
"C_ten_16972_MN","APP","C_ten_16972_MN_A2","16972_c1",0.627919693773924
"C_ten_16972_MN","GAP","C_ten_16972_MN_A1","16972_c2",0.633466135458167
"C_ten_16972_MN","GAP","C_ten_16972_MN_B2","16972_c1",0.499960940551519
"C_ten_16972_MN","IBR","C_ten_16972_MN_A2","16972_c2",0.541051480353097
"C_ten_16972_MN","IBR","C_ten_16972_MN_B2","16972_c1",0.495195687836888
"C_ten_16972_MN","PGI","C_ten_16972_MN_A1","16972_c1",0.633856729942973
"C_ten_16972_MN","PGI","C_ten_16972_MN_B2","16972_c2",0.503163815326928
"C_ten_16972_MN","TRNGR","C_ten_16972_MN_A2","16972_c1",0.609796109678931
