"sample","locus","homeolog","copy","displayed_tip","exact_tip_marginal_pp","homeolog_assignment_pp"
"C_ten_16972_MN","APP","C_ten_16972_MN_B","16972_c2","C_ten_16972_MN_B1",0.505741738926646,1
"C_ten_16972_MN","APP","C_ten_16972_MN_A","16972_c1","C_ten_16972_MN_A2",0.627919693773924,1
"C_ten_16972_MN","GAP","C_ten_16972_MN_A","16972_c2","C_ten_16972_MN_A1",0.633466135458167,1
"C_ten_16972_MN","GAP","C_ten_16972_MN_B","16972_c1","C_ten_16972_MN_B2",0.499960940551519,1
"C_ten_16972_MN","IBR","C_ten_16972_MN_A","16972_c2","C_ten_16972_MN_A2",0.541051480353097,1
"C_ten_16972_MN","IBR","C_ten_16972_MN_B","16972_c1","C_ten_16972_MN_B2",0.495195687836888,1
"C_ten_16972_MN","PGI","C_ten_16972_MN_A","16972_c1","C_ten_16972_MN_A1",0.633856729942973,1
"C_ten_16972_MN","PGI","C_ten_16972_MN_B","16972_c2","C_ten_16972_MN_B2",0.503163815326928,1
"C_ten_16972_MN","TRNGR","C_ten_16972_MN_A","16972_c1","C_ten_16972_MN_A2",0.609796109678931,1
