"Sample","Subgenome","APP","GAP","IBR","PGI","TRNGR"
"C_lau_7886_Can","C_lau_7886_Can_A1","","","","",""
"C_lau_7886_Can","C_lau_7886_Can_B1","","","","",""
"C_lau_7886_Can","C_lau_7886_Can_C1","","","","",""
"C_lau_7886_Can","C_lau_7886_Can_A2","","","","",""
"C_lau_7886_Can","C_lau_7886_Can_B2","","","","",""
"C_lau_7886_Can","C_lau_7886_Can_C2","","","","",""
