"sample","locus","tip","copy","exact_tip_marginal_pp"
"C_tenu_6827_UT","GAP","C_tenu_6827_UT_A","6827_c1",1
"C_tenu_6827_UT","GAP","C_tenu_6827_UT_B","6827_c2",1
"C_uta_8232_NM","GAP","C_uta_8232_NM_A","8232_c1",1
"C_uta_8232_NM","GAP","C_uta_8232_NM_B","8232_c2",1
"G_aok_7984_Jpn","GAP","G_aok_7984_Jpn_A","7984_c1",1
"G_aok_7984_Jpn","GAP","G_aok_7984_Jpn_B","7984_c2",1
"G_con_6979_Can","GAP","G_con_6979_Can_A","6979_c1",1
"G_con_6979_Can","GAP","G_con_6979_Can_B","6979_c2",1
"G_dry_16589_Can","GAP","G_dry_16589_Can_A","16589_c1",1
"G_dry_16589_Can","GAP","G_dry_16589_Can_B","16589_c2",1
"G_jes_12476_Chn","GAP","G_jes_12476_Chn_A","12476_c1",1
"G_jes_12476_Chn","GAP","G_jes_12476_Chn_B","12476_c2",1
"G_rob_8117_Aut","GAP","G_rob_8117_Aut_A","8117_c2",1
"G_rob_8117_Aut","GAP","G_rob_8117_Aut_B","8117_c1",1
"G_rob_8978_MN","GAP","G_rob_8978_MN_A","8978_c1",1
"G_rob_8978_MN","GAP","G_rob_8978_MN_B","8978_c2",1
"A_tai_11685_Mys","IBR","A_tai_11685_Mys_A","11685_c1",1
"A_tai_11685_Mys","IBR","A_tai_11685_Mys_B","11685_c2",1
"A_ten_10529_Chn","IBR","A_ten_10529_Chn_A","10529_c1",1
"A_ten_10529_Chn","IBR","A_ten_10529_Chn_B","10529_c2",1
"A_ten_11702_Mys","IBR","A_ten_11702_Mys_A","11702_c1",1
"A_ten_11702_Mys","IBR","A_ten_11702_Mys_B","11702_c2",1
"C_deq_12509_Chn","IBR","C_deq_12509_Chn_A2","12509_c2",0.517068978986017
"C_deq_12509_Chn","IBR","C_deq_12509_Chn_B","12509_c1",1
"C_dic_10804_Rus","IBR","C_dic_10804_Rus_A","10804_c1",1
"C_dic_10804_Rus","IBR","C_dic_10804_Rus_B","10804_c2",1
"C_form_13989_Chl","IBR","C_form_13989_Chl_A","13989_c2",1
"C_form_13989_Chl","IBR","C_form_13989_Chl_B","13989_c1",1
"C_fra_16804_Chn","IBR","C_fra_16804_Chn_A","16804_c2",1
"C_fra_16804_Chn","IBR","C_fra_16804_Chn_B2","16804_c1",0.50730411686587
"C_fra_5846_CO","IBR","C_fra_5846_CO_C","5846_c1",1
"C_fra_5846_CO","IBR","C_fra_5846_CO_B","5846_c2",1
"C_fra_6980_Can","IBR","C_fra_6980_Can_A","6980_c1",1
"C_fra_6980_Can","IBR","C_fra_6980_Can_B","6980_c2",1
"C_fra_7011_Icld","IBR","C_fra_7011_Icld_A","7011_c2",1
"C_fra_7011_Icld","IBR","C_fra_7011_Icld_B","7011_c1",1
"C_fra_7112_Mex","IBR","C_fra_7112_Mex_A","7112_c1",1
"C_fra_7625_Tai","IBR","C_fra_7625_Tai_C","7625_c1",0.999921881103039
"C_fra_7625_Tai","IBR","C_fra_7625_Tai_D","7625_c2",1
"C_ree_7032_NM","IBR","C_ree_7032_NM_A","7032_c2",1
"C_ree_7032_NM","IBR","C_ree_7032_NM_B","7032_c1",1
"C_sud_10801_Rus","IBR","C_sud_10801_Rus_A","10801_c1",1
"C_sud_10801_Rus","IBR","C_sud_10801_Rus_B","10801_c2",1
"C_tas_6379_Nzl","IBR","C_tas_6379_Nzl_A1","6379_c1",0.522146707288493
"C_ten_16972_MN","IBR","C_ten_16972_MN_A","16972_c2",1
"C_ten_16972_MN","IBR","C_ten_16972_MN_B","16972_c1",1
"C_tenn_11539_KS","IBR","C_tenn_11539_KS_A","11539_c1",1
"C_tenn_11539_KS","IBR","C_tenn_11539_KS_B","11539_c2",1
"C_tenu_6827_UT","IBR","C_tenu_6827_UT_A","6827_c1",1
"C_tenu_6827_UT","IBR","C_tenu_6827_UT_B","6827_c2",1
"C_uta_8232_NM","IBR","C_uta_8232_NM_A","8232_c1",1
"C_uta_8232_NM","IBR","C_uta_8232_NM_B","8232_c2",1
"G_aok_7984_Jpn","IBR","G_aok_7984_Jpn_A","7984_c1",1
"G_aok_7984_Jpn","IBR","G_aok_7984_Jpn_B","7984_c2",1
"G_con_6979_Can","IBR","G_con_6979_Can_A","6979_c1",1
"G_con_6979_Can","IBR","G_con_6979_Can_B","6979_c2",1
"G_dry_16589_Can","IBR","G_dry_16589_Can_A","16589_c1",1
"G_dry_16589_Can","IBR","G_dry_16589_Can_B","16589_c2",1
"G_jes_12476_Chn","IBR","G_jes_12476_Chn_A","12476_c1",1
"G_jes_12476_Chn","IBR","G_jes_12476_Chn_B","12476_c2",1
"G_rob_8117_Aut","IBR","G_rob_8117_Aut_A","8117_c2",1
"G_rob_8117_Aut","IBR","G_rob_8117_Aut_B","8117_c1",1
"G_rob_8978_MN","IBR","G_rob_8978_MN_A","8978_c1",1
"G_rob_8978_MN","IBR","G_rob_8978_MN_B","8978_c2",1
"A_tai_11685_Mys","PGI","A_tai_11685_Mys_A","11685_c1",1
"A_tai_11685_Mys","PGI","A_tai_11685_Mys_B","11685_c2",1
"A_ten_10529_Chn","PGI","A_ten_10529_Chn_A","10529_c1",1
"A_ten_10529_Chn","PGI","A_ten_10529_Chn_B","10529_c2",1
"A_ten_11702_Mys","PGI","A_ten_11702_Mys_A","11702_c1",1
"A_ten_11702_Mys","PGI","A_ten_11702_Mys_B","11702_c2",1
"C_deq_12509_Chn","PGI","C_deq_12509_Chn_A2","12509_c1",0.534177017420514
"C_deq_12509_Chn","PGI","C_deq_12509_Chn_B","12509_c2",1
"C_dic_10804_Rus","PGI","C_dic_10804_Rus_C","10804_c2",1
"C_dic_10804_Rus","PGI","C_dic_10804_Rus_B","10804_c1",1
"C_form_13989_Chl","PGI","C_form_13989_Chl_A","13989_c1",1
"C_form_13989_Chl","PGI","C_form_13989_Chl_B","13989_c2",1
"C_fra_16804_Chn","PGI","C_fra_16804_Chn_B1","16804_c1",0.518553238028279
"C_fra_16804_Chn","PGI","C_fra_16804_Chn_C","16804_c2",1
"C_fra_5846_CO","PGI","C_fra_5846_CO_A","5846_c1",1
