"Sample","Subgenome","APP","GAP","IBR","PGI","TRNGR"
"G_xint_9635_MN","G_xint_9635_MN_A1","","","","",""
"G_xint_9635_MN","G_xint_9635_MN_B1","","","","",""
"G_xint_9635_MN","G_xint_9635_MN_C1","","","","",""
"G_xint_9635_MN","G_xint_9635_MN_D1","","","","",""
"G_xint_9635_MN","G_xint_9635_MN_A2","","","","",""
"G_xint_9635_MN","G_xint_9635_MN_B2","","","","",""
"G_xint_9635_MN","G_xint_9635_MN_C2","","","","",""
"G_xint_9635_MN","G_xint_9635_MN_D2","","","","",""
