"","APP","GAP","IBR","PGI","TRNGR"
"C_lau_7886_Can_A1","7886_c2","7886_c2","7886_c2","7886_BLANK4","7886_BLANK1"
"C_lau_7886_Can_B1","7886_c1","7886_BLANK2","7886_BLANK2","7886_BLANK1","7886_BLANK4"
"C_lau_7886_Can_C1","7886_c3","7886_BLANK1","7886_c1","7886_BLANK2","7886_BLANK2"
"C_lau_7886_Can_A2","7886_BLANK1","7886_BLANK3","7886_BLANK1","7886_c2","7886_BLANK3"
"C_lau_7886_Can_B2","7886_BLANK2","7886_c3","7886_c3","7886_BLANK3","7886_c1"
"C_lau_7886_Can_C2","7886_BLANK3","7886_c1","7886_BLANK3","7886_c1","7886_BLANK5"
