"","APP","GAP","IBR","PGI","TRNGR"
"C_deq_12509_Chn_A1","12509_BLANK3","12509_BLANK2","12509_c1","12509_BLANK1","12509_BLANK1"
"C_deq_12509_Chn_B1","12509_c1","12509_c1","12509_BLANK2","12509_c1","12509_BLANK2"
"C_deq_12509_Chn_A2","12509_BLANK1","12509_BLANK1","12509_BLANK1","12509_c2","12509_BLANK3"
"C_deq_12509_Chn_B2","12509_BLANK2","12509_c2","12509_c2","12509_BLANK2","12509_c1"
