"sample","locus","tip","copy","exact_tip_marginal_pp"
"C_deq_12509_Chn","APP","C_deq_12509_Chn_B1","12509_c1",0.503065293732516
"C_deq_12509_Chn","GAP","C_deq_12509_Chn_B1","12509_c1",0.502410570799357
"C_deq_12509_Chn","GAP","C_deq_12509_Chn_B2","12509_c2",0.502410570799357
"C_deq_12509_Chn","IBR","C_deq_12509_Chn_A1","12509_c1",0.501815368132849
"C_deq_12509_Chn","IBR","C_deq_12509_Chn_B2","12509_c2",0.498660794000357
"C_deq_12509_Chn","PGI","C_deq_12509_Chn_B1","12509_c1",0.496756145467532
"C_deq_12509_Chn","PGI","C_deq_12509_Chn_A2","12509_c2",0.497946550800548
"C_deq_12509_Chn","TRNGR","C_deq_12509_Chn_B2","12509_c1",0.481102315338373
