"sample","locus","tip","copy","exact_tip_marginal_pp"
"C_deq_12509_Chn","APP","C_deq_12509_Chn_A2","12509_c1",0.5400261348787
"C_deq_12509_Chn","GAP","C_deq_12509_Chn_A1","12509_c1",0.500312482245327
"C_deq_12509_Chn","GAP","C_deq_12509_Chn_A2","12509_c2",0.500312482245327
"C_deq_12509_Chn","IBR","C_deq_12509_Chn_A1","12509_c1",0.56729731265269
"C_deq_12509_Chn","IBR","C_deq_12509_Chn_A2","12509_c2",0.56729731265269
"C_deq_12509_Chn","PGI","C_deq_12509_Chn_A1","12509_c2",0.567410942560082
"C_deq_12509_Chn","PGI","C_deq_12509_Chn_A2","12509_c1",0.567410942560082
"C_deq_12509_Chn","TRNGR","C_deq_12509_Chn_A2","12509_c1",0.552695869552866
